Fname,Lname,Position,team,GP,G,A,P,PPG,PIM,Success,season,Standing
Jesse,Pärssinen,1,Ilves U16,27,5,9,14,0.52,12,0,2009-2010,11.0
Jesse,Muranen,1,Jokipojat U16,27,3,11,14,0.52,20,0,2009-2010,13.0
Samu,Rajala,1,Lukko U16,27,7,6,13,0.48,12,0,2009-2010,14.0
Aleksanteri,Palo,0,Jokerit U16,21,6,7,13,0.62,6,0,2009-2010,3.0
Artturi,Ylönen,1,Jokipojat U16,27,6,7,13,0.48,14,0,2009-2010,13.0
Tommi,Lehtimäki,1,Lukko U16,27,6,7,13,0.48,38,0,2009-2010,14.0
Olli,Pulkkinen,1,KalPa U16,24,5,8,13,0.54,12,0,2009-2010,9.0
Markus,Lammi,0,Ässät U16,24,4,9,13,0.54,10,0,2009-2010,7.0
Alex,Laakso,1,KalPa U16,26,4,9,13,0.50,34,0,2009-2010,9.0
Lassi,Ikonen,1,JYP U16,11,7,5,12,1.09,0,0,2009-2010,8.0
Santeri,Nuutinen,1,Kiekko-Vantaa U16,25,7,5,12,0.48,30,0,2009-2010,12.0
Sami,Repo,1,Jokipojat U16,17,6,6,12,0.71,10,0,2009-2010,13.0
Mikko,Kivinen,0,Ässät U16,23,5,7,12,0.52,26,0,2009-2010,7.0
Mikko,Piisinen,0,Jokerit U16,16,7,4,11,0.69,4,0,2009-2010,3.0
Niklas,Simontaival,1,Tappara U16,24,6,5,11,0.46,8,0,2009-2010,2.0
Valtteri,Virkkunen,0,Blues U16,25,6,5,11,0.44,0,0,2009-2010,5.0
Timi,Tamminen,1,TPS U16,27,6,5,11,0.41,18,0,2009-2010,4.0
Ville,Konttinen,1,Jokerit U16,16,4,7,11,0.69,10,0,2009-2010,3.0
Mikko,Kalliosaari,1,Kärpät U16,24,4,7,11,0.46,16,0,2009-2010,6.0
Jari,Hartikainen,0,Ilves U16,25,4,7,11,0.44,22,0,2009-2010,11.0
Kasper,Elo,1,Blues U16,25,3,8,11,0.44,6,0,2009-2010,5.0
Aapo,Luhanko,0,JYP U16,25,3,8,11,0.44,22,0,2009-2010,8.0
Tommi,Savola,1,Blues U16,25,2,9,11,0.44,16,0,2009-2010,5.0
Eero,Helanto,1,TPS U16,27,2,9,11,0.41,16,0,2009-2010,4.0
Kasper,Sarja,0,Tappara U16,27,1,10,11,0.41,26,0,2009-2010,2.0
Dan,Wicklund,1,HIFK U16,9,5,5,10,1.11,4,0,2009-2010,1.0
Aleksi,Peltomaa,1,Ässät U16,25,5,5,10,0.40,20,0,2009-2010,7.0
Arttu,Seppänen,1,HPK U16,12,4,6,10,0.83,14,0,2009-2010,10.0
Ville,Keskinen,1,Blues U16,22,4,6,10,0.46,4,0,2009-2010,5.0
Teemu,Paasonen,1,KalPa U16,27,4,6,10,0.37,14,0,2009-2010,9.0
Niklas,Kumpu,0,Tappara U16,22,3,7,10,0.46,45,0,2009-2010,2.0
